Table 1: Cumulative Number of Cases Tested Positive for COVID-19 - as reported on that date on SG website,,,,,,,,,,,,,,,,,,,,,
"(asterisk * denotes less than 5, for disclosure reasons).",,,,,,,,,,,,,,,,,,,,,
Date notified,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland,,,,,,
24/05/2020," 1,019 ", 322 , 258 , 826 , 917 ," 1,224 "," 3,876 ", 335 ," 1,934 "," 2,665 ", 7 , 54 ," 1,658 ", 6 ," 15,101 ",,,,,,
25/05/2020," 1,019 ", 322 , 260 , 827 , 917 ," 1,245 "," 3,892 ", 335 ," 1,944 "," 2,669 ", 7 , 54 ," 1,659 ", 6 ," 15,156 ",,,,,,
26/05/2020," 1,023 ", 323 , 260 , 828 , 918 ," 1,250 "," 3,898 ", 336 ," 1,948 "," 2,675 ", 7 , 54 ," 1,659 ", 6 ," 15,185 ",,,,,,
27/05/2020," 1,029 ", 323 , 260 , 830 , 919 ," 1,256 "," 3,916 ", 337 ," 1,957 "," 2,685 ", 7 , 54 ," 1,661 ", 6 ," 15,240 ",,,,,,
28/05/2020," 1,035 ", 323 , 260 , 830 , 919 ," 1,259 "," 3,934 ", 337 ," 1,968 "," 2,691 ", 7 , 54 ," 1,665 ", 6 ," 15,288 ",,,,,,
29/05/2020," 1,039 ", 325 , 260 , 831 , 919 ," 1,269 "," 3,939 ", 337 ," 1,974 "," 2,698 ", 8 , 54 ," 1,668 ", 6 ," 15,327 ",,,,,,
30/05/2020," 1,058 ", 325 , 260 , 834 , 924 ," 1,273 "," 3,943 ", 337 ," 1,984 "," 2,706 ", 8 , 54 ," 1,670 ", 6 ," 15,382 ",,,,,,
31/05/2020," 1,060 ", 325 , 260 , 835 , 928 ," 1,274 "," 3,946 ", 337 ," 1,987 "," 2,709 ", 8 , 54 ," 1,671 ", 6 ," 15,400 ",,,,,,
01/06/2020," 1,061 ", 325 , 260 , 836 , 931 ," 1,278 "," 3,949 ", 338 ," 1,987 "," 2,714 ", 8 , 54 ," 1,671 ", 6 ," 15,418 ",,,,,,
02/06/2020," 1,061 ", 325 , 260 , 871 , 935 ," 1,281 "," 3,950 ", 338 ," 1,995 "," 2,716 ", 8 , 54 ," 1,671 ", 6 ," 15,471 ",,,,,,
03/06/2020," 1,066 ", 325 , 260 , 876 , 942 ," 1,282 "," 3,954 ", 339 ," 1,998 "," 2,723 ", 8 , 54 ," 1,671 ", 6 ," 15,504 ",,,,,,
04/06/2020," 1,071 ", 325 , 261 , 877 , 944 ," 1,283 "," 3,961 ", 338 ," 2,002 "," 2,752 ", 8 , 54 ," 1,671 ", 6 ," 15,553 ",,,,,,
05/06/2020," 1,076 ", 326 , 261 , 877 , 946 ," 1,284 "," 3,968 ", 338 ," 2,005 "," 2,760 ", 8 , 54 ," 1,673 ", 6 ," 15,582 ",,,,,,
06/06/2020," 1,077 ", 326 , 261 , 879 , 946 ," 1,284 "," 3,971 ", 339 ," 2,007 "," 2,769 ", 8 , 54 ," 1,676 ", 6 ," 15,603 ",,,,,,
07/06/2020," 1,079 ", 326 , 261 , 879 , 946 ," 1,286 "," 3,981 ", 339 ," 2,008 "," 2,772 ", 8 , 54 ," 1,676 ", 6 ," 15,621 ",,,,,,
08/06/2020," 1,080 ", 326 , 261 , 879 , 947 ," 1,286 "," 3,988 ", 340 ," 2,013 "," 2,774 ", 8 , 54 ," 1,677 ", 6 ," 15,639 ",,,,,,
09/06/2020," 1,081 ", 326 , 261 , 879 , 948 ," 1,287 "," 3,990 ", 340 ," 2,018 "," 2,777 ", 8 , 54 ," 1,678 ", 6 ," 15,653 ",,,,,,
10/06/2020," 1,081 ", 327 , 261 , 880 , 948 ," 1,287 "," 3,990 ", 340 ," 2,021 "," 2,778 ", 8 , 54 ," 1,684 ", 6 ," 15,665 ",,,,,,
11/06/2020," 1,082 ", 327 , 261 , 882 , 948 ," 1,288 "," 3,995 ", 341 ," 2,022 "," 2,783 ", 8 , 54 ," 1,685 ", 6 ," 15,682 ",,,,,,
12/06/2020," 1,086 ", 327 , 261 , 883 , 948 ," 1,288 "," 4,000 ", 341 ," 2,028 "," 2,794 ", 8 , 54 ," 1,685 ", 6 ," 15,709 ",,,,,,
13/06/2020," 1,087 ", 327 , 261 , 884 , 950 ," 1,288 "," 4,004 ", 341 ," 2,031 "," 2,803 ", 8 , 54 ," 1,686 ", 6 ," 15,730 ",,,,,,
14/06/2020," 1,088 ", 327 , 261 , 885 , 952 ," 1,294 "," 4,010 ", 341 ," 2,035 "," 2,807 ", 8 , 54 ," 1,687 ", 6 ," 15,755 ",,,,,,
15/06/2020," 1,243 ", 345 , 274 , 926 ," 1,048 "," 1,405 "," 4,805 ", 373 ," 2,671 "," 3,110 ", 9 , 54 ," 1,760 ", 7 ," 18,030 ",,,,,,
16/06/2020," 1,243 ", 345 , 274 , 926 ," 1,051 "," 1,405 "," 4,808 ", 373 ," 2,674 "," 3,116 ", 9 , 54 ," 1,760 ", 7 ," 18,045 ",,,,,,
17/06/2020," 1,245 ", 345 , 274 , 928 ," 1,051 "," 1,409 "," 4,810 ", 373 ," 2,678 "," 3,123 ", 9 , 54 ," 1,760 ", 7 ," 18,066 ",,,,,,
18/06/2020," 1,245 ", 345 , 274 , 928 ," 1,053 "," 1,410 "," 4,813 ", 373 ," 2,681 "," 3,125 ", 9 , 54 ," 1,760 ", 7 ," 18,077 ",,,,,,
19/06/2020," 1,248 ", 345 , 284 , 928 ," 1,053 "," 1,410 "," 4,814 ", 373 ," 2,685 "," 3,134 ", 9 , 54 ," 1,760 ", 7 ," 18,104 ",,,,,,
20/06/2020," 1,249 ", 345 , 284 , 928 ," 1,055 "," 1,410 "," 4,819 ", 373 ," 2,698 "," 3,139 ", 9 , 54 ," 1,760 ", 7 ," 18,130 ",,,,,,
21/06/2020," 1,250 ", 346 , 284 , 928 ," 1,056 "," 1,412 "," 4,827 ", 373 ," 2,704 "," 3,145 ", 9 , 54 ," 1,761 ", 7 ," 18,156 ",,,,,,
22/06/2020," 1,250 ", 346 , 285 , 928 ," 1,057 "," 1,412 "," 4,830 ", 373 ," 2,712 "," 3,146 ", 9 , 54 ," 1,761 ", 7 ," 18,170 ",,,,,,
23/06/2020," 1,251 ", 346 , 285 , 928 ," 1,058 "," 1,413 "," 4,832 ", 374 ," 2,715 "," 3,147 ", 9 , 54 ," 1,763 ", 7 ," 18,182 ",,,,,,
24/06/2020," 1,251 ", 346 , 285 , 928 ," 1,061 "," 1,413 "," 4,834 ", 374 ," 2,715 "," 3,150 ", 9 , 54 ," 1,764 ", 7 ," 18,191 ",,,,,,
25/06/2020," 1,252 ", 345 , 285 , 930 ," 1,061 "," 1,414 "," 4,838 ", 374 ," 2,716 "," 3,146 ", 9 , 54 ," 1,765 ", 7 ," 18,196 ",,,,,,
26/06/2020," 1,253 ", 345 , 285 , 929 ," 1,064 "," 1,417 "," 4,844 ", 374 ," 2,717 "," 3,148 ", 9 , 54 ," 1,767 ", 7 ," 18,213 ",,,,,,
27/06/2020," 1,253 ", 345 , 285 , 930 ," 1,066 "," 1,418 "," 4,848 ", 374 ," 2,720 "," 3,151 ", 9 , 54 ," 1,768 ", 7 ," 18,228 ",,,,,,
28/06/2020," 1,253 ", 345 , 285 , 930 ," 1,068 "," 1,419 "," 4,850 ", 375 ," 2,722 "," 3,151 ", 9 , 54 ," 1,768 ", 7 ," 18,236 ",,,,,,
29/06/2020," 1,255 ", 345 , 285 , 930 ," 1,069 "," 1,419 "," 4,851 ", 375 ," 2,723 "," 3,151 ", 9 , 54 ," 1,768 ", 7 ," 18,241 ",,,,,,
30/06/2020," 1,255 ", 345 , 290 , 930 ," 1,070 "," 1,419 "," 4,853 ", 375 ," 2,724 "," 3,151 ", 9 , 54 ," 1,769 ", 7 ," 18,251 ",,,,,,
01/07/2020," 1,255 ", 345 , 291 , 930 ," 1,070 "," 1,421 "," 4,858 ", 375 ," 2,724 "," 3,151 ", 9 , 54 ," 1,769 ", 7 ," 18,259 ",,,,,,
02/07/2020," 1,255 ", 345 , 292 , 930 ," 1,070 "," 1,423 "," 4,858 ", 375 ," 2,726 "," 3,151 ", 9 , 54 ," 1,769 ", 7 ," 18,264 ",,,,,,
03/07/2020," 1,256 ", 345 , 292 , 932 ," 1,076 "," 1,423 "," 4,858 ", 375 ," 2,727 "," 3,153 ", 9 , 54 ," 1,769 ", 7 ," 18,276 ",,,,,,
04/07/2020," 1,256 ", 345 , 293 , 932 ," 1,076 "," 1,425 "," 4,860 ", 375 ," 2,728 "," 3,156 ", 9 , 54 ," 1,771 ", 7 ," 18,287 ",,,,,,
05/07/2020," 1,257 ", 345 , 294 , 932 ," 1,076 "," 1,426 "," 4,861 ", 376 ," 2,730 "," 3,157 ", 9 , 54 ," 1,772 ", 7 ," 18,296 ",,,,,,
06/07/2020," 1,257 ", 345 , 295 , 932 ," 1,077 "," 1,426 "," 4,861 ", 376 ," 2,731 "," 3,158 ", 9 , 54 ," 1,772 ", 7 ," 18,300 ",,,,,,
07/07/2020," 1,257 ", 345 , 295 , 932 ," 1,078 "," 1,426 "," 4,862 ", 376 ," 2,731 "," 3,158 ", 9 , 54 ," 1,772 ", 7 ," 18,302 ",,,,,,
08/07/2020," 1,257 ", 345 , 295 , 932 ," 1,083 "," 1,427 "," 4,863 ", 376 ," 2,731 "," 3,158 ", 9 , 54 ," 1,772 ", 7 ," 18,309 ",,,,,,
09/07/2020," 1,257 ", 345 , 296 , 932 ," 1,085 "," 1,427 "," 4,865 ", 376 ," 2,731 "," 3,159 ", 9 , 54 ," 1,772 ", 7 ," 18,315 ",,,,,,
10/07/2020," 1,258 ", 345 , 298 , 933 ," 1,085 "," 1,429 "," 4,871 ", 376 ," 2,733 "," 3,163 ", 9 , 54 ," 1,772 ", 7 ," 18,333 ",,,,,,
11/07/2020," 1,258 ", 345 , 299 , 933 ," 1,085 "," 1,429 "," 4,872 ", 377 ," 2,734 "," 3,165 ", 9 , 54 ," 1,773 ", 7 ," 18,340 ",,,,,,
12/07/2020," 1,258 ", 345 , 299 , 933 ," 1,086 "," 1,430 "," 4,884 ", 377 ," 2,736 "," 3,166 ", 9 , 54 ," 1,775 ", 7 ," 18,359 ",,,,,,
13/07/2020," 1,258 ", 345 , 299 , 933 ," 1,087 "," 1,431 "," 4,887 ", 377 ," 2,737 "," 3,166 ", 9 , 54 ," 1,775 ", 7 ," 18,365 ",,,,,,
14/07/2020," 1,259 ", 345 , 299 , 933 ," 1,087 "," 1,432 "," 4,887 ", 377 ," 2,738 "," 3,166 ", 9 , 54 ," 1,775 ", 7 ," 18,368 ",,,,,,
15/07/2020," 1,260 ", 345 , 299 , 933 ," 1,087 "," 1,432 "," 4,890 ", 377 ," 2,739 "," 3,166 ", 9 , 54 ," 1,775 ", 7 ," 18,373 ",,,,,,
16/07/2020," 1,260 ", 345 , 299 , 933 ," 1,088 "," 1,432 "," 4,896 ", 377 ," 2,742 "," 3,167 ", 9 , 54 ," 1,775 ", 7 ," 18,384 ",,,,,,
17/07/2020," 1,262 ", 345 , 299 , 937 ," 1,091 "," 1,433 "," 4,897 ", 377 ," 2,743 "," 3,169 ", 9 , 54 ," 1,778 ", 7 ," 18,401 ",,,,,,
18/07/2020," 1,263 ", 346 , 300 , 937 ," 1,092 "," 1,435 "," 4,905 ", 377 ," 2,744 "," 3,174 ", 9 , 54 ," 1,779 ", 7 ," 18,422 ",,,,,,
19/07/2020," 1,266 ", 346 , 300 , 936 ," 1,092 "," 1,440 "," 4,912 ", 378 ," 2,747 "," 3,177 ", 9 , 54 ," 1,781 ", 7 ," 18,445 ",,"*** on 19 July 2020, a result from Fife was revised resulting in a decrease of 1 in the number of positive cases from 937 to 936. ***",,,,
20/07/2020," 1,267 ", 346 , 300 , 936 ," 1,092 "," 1,440 "," 4,914 ", 378 ," 2,748 "," 3,180 ", 9 , 54 ," 1,781 ", 7 ," 18,452 ",,,,,,
21/07/2020," 1,269 ", 346 , 300 , 937 ," 1,092 "," 1,440 "," 4,918 ", 378 ," 2,762 "," 3,181 ", 9 , 54 ," 1,781 ", 7 ," 18,474 ",,,,,,
22/07/2020," 1,270 ", 346 , 300 , 938 ," 1,092 "," 1,440 "," 4,921 ", 378 ," 2,765 "," 3,182 ", 9 , 54 ," 1,782 ", 7 ," 18,484 ",,,,,,
23/07/2020," 1,272 ", 346 , 300 , 939 ," 1,092 "," 1,441 "," 4,926 ", 379 ," 2,769 "," 3,183 ", 9 , 54 ," 1,783 ", 7 ," 18,500 ",,,,,,
24/07/2020," 1,273 ", 346 , 300 , 939 ," 1,091 "," 1,442 "," 4,940 ", 381 ," 2,770 "," 3,184 ", 9 , 54 ," 1,784 ", 7 ," 18,520 ",,"*** on 24 July 2020, NHS Forth Valley de-notified one previous case so their number decreased by 1. NHS Lothian had two new cases, but also de-notified one previous case, giving them a net gain of 1 new case. ***",,,,
25/07/2020," 1,274 ", 347 , 300 , 940 ," 1,091 "," 1,445 "," 4,949 ", 381 ," 2,778 "," 3,187 ", 9 , 54 ," 1,785 ", 7 ," 18,547 ",,,,,,
26/07/2020," 1,274 ", 347 , 300 , 940 ," 1,091 "," 1,445 "," 4,953 ", 381 ," 2,778 "," 3,187 ", 9 , 54 ," 1,785 ", 7 ," 18,551 ",,,,,,
27/07/2020," 1,275 ", 347 , 300 , 940 ," 1,091 "," 1,445 "," 4,954 ", 381 ," 2,779 "," 3,187 ", 9 , 54 ," 1,785 ", 7 ," 18,554 ",,,,,,
28/07/2020," 1,275 ", 347 , 300 , 941 ," 1,091 "," 1,445 "," 4,957 ", 381 ," 2,779 "," 3,187 ", 9 , 54 ," 1,785 ", 7 ," 18,558 ",,,,,,
29/07/2020," 1,275 ", 347 , 301 , 941 ," 1,092 "," 1,446 "," 4,971 ", 381 ," 2,779 "," 3,192 ", 9 , 54 ," 1,785 ", 7 ," 18,580 ",,,,,,
30/07/2020," 1,275 ", 347 , 301 , 943 ," 1,096 "," 1,448 "," 4,976 ", 381 ," 2,780 "," 3,193 ", 9 , 54 ," 1,787 ", 7 ," 18,597 ",,,,,,
31/07/2020," 1,276 ", 347 , 302 , 946 ," 1,096 "," 1,451 "," 4,983 ", 382 ," 2,784 "," 3,198 ", 9 , 54 ," 1,792 ", 7 ," 18,627 ",,,,,,
01/08/2020," 1,277 ", 347 , 302 , 946 ," 1,097 "," 1,457 "," 4,986 ", 383 ," 2,784 "," 3,203 ", 9 , 54 ," 1,793 ", 7 ," 18,645 ",,,,,,
